TargetWord|Meaning|IPA|Part_of_Speech|Gender|Morphology|Nuance|ContextSentences|ContextTranslation|Etymology|Mnemonic|Analogues|Image|Tags
anfangen|Починати(ся). Розпочинати дію або процес.|/ˈanˌfaŋən/|Verb|none|Pres: fängt an, Past: fing an, Perf: hat angefangen|Синонім *beginnen*, але *anfangen* більш розмовне і відокремлюване.|1. Wann fängt der Film <b>an</b>?<br>2. Ich muss neu <b>anfangen</b>.<br>3. Es hat <b>angefangen</b> zu regnen.|1. Коли починається фільм?<br>2. Я мушу почати заново.<br>3. Почався дощ.|*An-* (на) + *fangen* (ловити). Первісне значення — «братися за щось», «вхопитися».|Щоб щось зловити (*fangen*), треба спочатку *почати* полювання.|EN: To start<br>DE: Beginnen<br>RU: Начинать<br>UA: Розпочинати|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20start%20line%20race?width=320&height=200&nologo=true">|DE A1 Action
die Dienststelle|Відділення, місце служби, установа. Офіційне місце роботи службовців (поліція, митниця тощо).|/ˈdiːnstˌʃtɛlə/|Noun|die|Pl: -n|Звучить дуже бюрократично.|1. Er meldete sich bei seiner <b>Dienststelle</b>.<br>2. Welche <b>Dienststelle</b> ist zuständig?<br>3. Die <b>Dienststelle</b> ist ab 17 Uhr geschlossen.|1. Він з'явився у своєму відділенні.<br>2. Яка установа відповідальна за це?<br>3. Відділення зачинене з 17-ї години.|*Dienst* (служба) + *Stelle* (місце). Буквально: «місце служби».|Там де *стоять* (*Stelle*) на *службі* (*Dienst*).|EN: Department / Office<br>DE: Amt<br>RU: Ведомство<br>UA: Відділок|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20police%20station%20building?width=320&height=200&nologo=true">|DE B2 Admin Bureaucracy
unterwegs|В дорозі, по дорозі. Перебування в стані переміщення з одного місця в інше.|/ˌʊntɐˈveːks/|Adverb|none|-|Може також означати «гуляти десь» або «бути не вдома».|1. Ich bin gerade <b>unterwegs</b>.<br>2. Wir haben <b>unterwegs</b> gegessen.<br>3. Mein Paket ist <b>unterwegs</b>.|1. Я саме в дорозі.<br>2. Ми поїли по дорозі.<br>3. Мій пакунок в дорозі.|*Unter* (під/серед) + *Weg* (шлях). Буквально: «під шляхом» (у процесі шляху). Закінчення *-s* — це залишок родового відмінка (генітива) часу.|Ми *під* (*unter*) впливом дороги (*Weg*s).|EN: On the way<br>DE: Auf Reisen<br>RU: В пути<br>UA: В дорозі|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20car%20on%20winding%20road?width=320&height=200&nologo=true">|DE A2 Travel
der Dienstschluss|Кінець робочого дня. Момент завершення службових обов'язків.|/ˈdiːnstˌʃlʊs/|Noun|der|Pl: (рідко)|Використовується переважно у фіксованих графіках роботи.|1. Nach <b>Dienstschluss</b> gehe ich einkaufen.<br>2. Wir warten auf den <b>Dienstschluss</b>.<br>3. Vor <b>Dienstschluss</b> darf keiner gehen.|1. Після роботи я йду за покупками.<br>2. Ми чекаємо на кінець робочого дня.<br>3. До кінця зміни нікому не можна йти.|*Dienst* (служба) + *Schluss* (кінець, закриття).|Службі (*Dienst*) настав кінець (*Schluss*), закриваємо шлюзи!|EN: End of work<br>DE: Feierabend<br>RU: Конец работы<br>UA: Кінець зміни|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20clock%20at%205%20pm%20office?width=320&height=200&nologo=true">|DE A2 Work Time
der Zauberer|Чарівник, фокусник, маг. Особа, яка володіє магією або показує фокуси.|/ˈt͡saʊ̯bəʁɐ/|Noun|der|Fem: die Zauberin|У переносному значенні — людина, яка робить щось неймовірно майстерно.|1. Der <b>Zauberer</b> zog ein Kaninchen aus dem Hut.<br>2. Er ist ein echter <b>Zauberer</b> in der Küche.<br>3. Die Kinder lieben den <b>Zauberer</b>.|1. Фокусник витягнув кролика з капелюха.<br>2. Він справжній чарівник на кухні.<br>3. Діти люблять чарівника.|Від середньоверхньонімецького *zouber* (магія, чари). Етимологія неясна, можливо пов'язана з «малюванням» червоною вохрою (рунна магія).|*Цабе* (*Zaube-*) якийсь! Справжній маг.|EN: Wizard / Magician<br>DE: Magier<br>RU: Волшебник<br>UA: Маг|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20magician%20hat%20wand?width=320&height=200&nologo=true">|DE A2 Fantasy Profession
sich vorstellen|Уявляти (собі) / Представлятися. Два різних значення залежно від відмінка займенника (Dat/Akk).|/ˈfoːɐ̯ˌʃtɛlən/|Verb|none|Pres: stellt vor, Past: stellte vor, Perf: hat vorgestellt|*Sich (Dat) etwas vorstellen* = уявляти щось. *Sich (Akk) vorstellen* = представляти себе (знайомитися).|1. Darf ich mich <b>vorstellen</b>? (Akk)<br>2. Das kann ich mir gut <b>vorstellen</b>. (Dat)<br>3. Stell dir <b>vor</b>, wir haben gewonnen!|1. Дозвольте відрекомендуватися?<br>2. Я можу собі це добре уявити.<br>3. Уяви собі, ми виграли!|*Vor* (перед) + *stellen* (ставити). Тобто «поставити перед кимось» (себе) або «поставити перед своїм внутрішнім зором» (уявити).|Постав (*stellen*) це *перед* (*vor*) своїми очима — уяви.|EN: Imagine / Introduce<br>DE: Fantasieren / Bekannt machen<br>RU: Представлять / Представляться<br>UA: Уявляти / Знайомитися|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20thought%20bubble%20and%20handshake?width=320&height=200&nologo=true">|DE A2 Social Cognition
herrlich|Чудовий, прекрасний, величний. Виражає найвищу міру захоплення.|/ˈhɛʁlɪç/|Adjective|none|-|Часто про погоду, їжу або відпочинок.|1. Das Wetter ist heute <b>herrlich</b>.<br>2. Das Essen hat <b>herrlich</b> geschmeckt.<br>3. Wir hatten eine <b>herrliche</b> Aussicht.|1. Погода сьогодні чудова.<br>2. Їжа смакувала прекрасно.<br>3. У нас був розкішний краєвид.|Від *Herr* (пан, господь). Спочатку означало «панський», «гідний пана», «величний».|Так гарно, що відчуваєш себе *Герром* (*Herr* - паном).|EN: Magnificent / Lovely<br>DE: Wunderbar<br>RU: Великолепный<br>UA: Чудовий|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20sunny%20meadow%20bliss?width=320&height=200&nologo=true">|DE B1 Adjective Positive
das Grundstück|Земельна ділянка. Шматок землі, що перебуває у власності, часто під забудову.|/ˈɡʁʊntˌʃtʏk/|Noun|das|Pl: -e|Важливе слово для нерухомості.|1. Wir haben ein <b>Grundstück</b> gekauft.<br>2. Das <b>Grundstück</b> ist sehr groß.<br>3. Auf diesem <b>Grundstück</b> darf man nicht bauen.|1. Ми купили ділянку.<br>2. Ділянка дуже велика.<br>3. На цій ділянці не можна будувати.|*Grund* (ґрунт, основа) + *Stück* (шматок).|Шматок (*Stück*) *ґрунту* (*Grund*).|EN: Plot of land<br>DE: Parzelle<br>RU: Участок<br>UA: Ділянка|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20land%20plot%20map%20outline?width=320&height=200&nologo=true">|DE B1 RealEstate
die Gleise|Колії, рейки. Залізничні шляхи (множина від *das Gleis*).|/ˈɡlaɪ̯zə/|Noun|die|Sg: das Gleis|На вокзалі оголошують: «Der Zug fährt auf Gleis 3 ein» (Потяг прибуває на колію 3).|1. Laufen Sie nicht über die <b>Gleise</b>!<br>2. Der Zug steht auf den <b>Gleisen</b>.<br>3. Die <b>Gleise</b> werden repariert.|1. Не бігайте через колії!<br>2. Потяг стоїть на коліях.<br>3. Колії ремонтують.|Від давнього слова, що означало «слід від колеса». Споріднене з *gleiten* (ковзати).|Потяг *ковзає* (*gleiten*) по *Gleise* (коліях).|EN: Tracks<br>DE: Schienen<br>RU: Пути / Рельсы<br>UA: Колії|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20railroad%20tracks?width=320&height=200&nologo=true">|DE A2 Transport
die Bretter|Дошки. Пиломатеріал (множина від *das Brett*).|/ˈbʁɛtɐ/|Noun|die|Sg: das Brett|Ідіома: *ein Brett vor dem Kopf haben* (бути тупим, не розуміти очевидного).|1. Wir brauchen mehr <b>Bretter</b> für den Zaun.<br>2. Die <b>Bretter</b> sind aus Eichenholz.<br>3. Er nagelte die <b>Bretter</b> zusammen.|1. Нам потрібно більше дощок для паркану.<br>2. Дошки з дубової деревини.<br>3. Він збив дошки цвяхами.|Споріднене з англійським *board*. Германське походження.|Брат (*Brett*) взяв дошку.|EN: Boards / Planks<br>DE: Planken<br>RU: Доски<br>UA: Дошки|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20wooden%20planks?width=320&height=200&nologo=true">|DE B1 Construction DIY
auswachsen|Переростати (одяг), розростатися (про проблему). Ставати більшим за межі чогось.|/ˈaʊ̯sˌvaksn̩/|Verb|none|Pres: wächst aus, Past: wuchs aus, Perf: ist ausgewachsen|Часто вживається рефлексивно: *sich zu einem Problem auswachsen* (перерости у проблему).|1. Das Kind ist aus den Schuhen <b>ausgewachsen</b>.<br>2. Der Streit könnte sich zu einem Skandal <b>auswachsen</b>.<br>3. Ein voll <b>ausgewachsener</b> Bär.|1. Дитина виросла з черевиків.<br>2. Суперечка може перерости у скандал.<br>3. Повністю дорослий (вирослий) ведмідь.|*Aus-* (з, назовні) + *wachsen* (рости).|Вазон (*wachsen*) виліз *із* (*aus*) горщика — переріс його.|EN: Outgrow / Escalate<br>DE: Größer werden<br>RU: Перерастать<br>UA: Переростати|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20plant%20breaking%20pot?width=320&height=200&nologo=true">|DE C1 Development Idiom
entdecken|Відкривати, виявляти, знаходити (Input: entdeckt). Знаходити щось приховане або невідоме.|/ɛntˈdɛkn̩/|Verb|none|Pres: entdeckt, Past: entdeckte, Perf: hat entdeckt|Не те саме, що *erfinden* (винаходити, створювати з нуля). Колумб *відкрив* (entdeckte) Америку.|1. Wer hat Amerika <b>entdeckt</b>?<br>2. Ich habe einen Fehler <b>entdeckt</b>.<br>3. Wir müssen die Ursache <b>entdecken</b>.|1. Хто відкрив Америку?<br>2. Я виявив помилку.<br>3. Ми мусимо виявити причину.|*Ent-* (префікс позбавлення/розкриття) + *decken* (крити, накривати). Буквально: «зняти покривало».|Зніми деку (*decken*), щоб *відкрити* (*ent-*) те, що всередині.|EN: Discover<br>DE: Finden<br>RU: Обнаруживать<br>UA: Відкривати|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20magnifying%20glass%20treasure?width=320&height=200&nologo=true">|DE A2 Exploration
der Wettbewerb|Змагання, конкурс, конкуренція. Боротьба за першість або кращий результат.|/ˈvɛtbəˌvɛʁp/|Noun|der|Pl: -e|Ключове слово в економіці (конкуренція на ринку) та спорті.|1. Er hat den <b>Wettbewerb</b> gewonnen.<br>2. Der <b>Wettbewerb</b> zwischen den Firmen ist hart.<br>3. Sie nahmen an einem musikalischen <b>Wettbewerb</b> teil.|1. Він виграв конкурс.<br>2. Конкуренція між фірмами жорстка.<br>3. Вони взяли участь у музичному конкурсі.|*Wette* (заклад, парі) + *bewerben* (домагатися, подаватися).|Вони б'ються об заклад (*Wett-*), хто краще себе *прорекламує* (*-werb*).|EN: Competition<br>DE: Konkurrenz<br>RU: Соревнование<br>UA: Конкуренція|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20trophy%20race%20podium?width=320&height=200&nologo=true">|DE B1 Business Sport
werden|Ставати, робитися; (як допоміжне дієслово) буде. (Input: wird). Один з найважливіших дієслів німецької мови.|/ˈveːɐ̯dn̩/|Verb|none|Pres: wird, Past: wurde, Perf: ist geworden|Утворює майбутній час (Futur I) та пасивний стан (Passiv). *Es wird dunkel* (Стає темно).|1. Es <b>wird</b> bald regnen.<br>2. Er will Arzt <b>werden</b>.<br>3. Alles <b>wird</b> gut.|1. Скоро піде (буде) дощ.<br>2. Він хоче стати лікарем.<br>3. Все буде добре.|Давньогерманське *werthan* (повертати, ставати). Споріднене з латинським *vertere* (вертіти, обертати). Значення розвинулося від «повертатися» до «змінюватися/ставати».|Він *вертиться* (*werd-*), бо не може *стати* на місці.|EN: Become / Will<br>DE: Entstehen<br>RU: Становиться<br>UA: Ставати|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20caterpillar%20becoming%20butterfly?width=320&height=200&nologo=true">|DE A1 Grammar Essential
der Durchbruch|Прорив. Різкий успіх або фізичне пробивання перешкоди.|/ˈdʊʁçˌbʁʊx/|Noun|der|Pl: -brüche|Часто про наукові відкриття або успіх артиста.|1. Dem Wissenschaftler gelang ein wichtiger <b>Durchbruch</b>.<br>2. Das war sein musikalischer <b>Durchbruch</b>.<br>3. Der Damm droht einen <b>Durchbruch</b>.|1. Вченому вдався важливий прорив.<br>2. Це був його музичний прорив (успіх).<br>3. Дамбі загрожує прорив.|*Durch* (крізь) + *Bruch* (розлом, від *brechen*).|Він *брутально* (*Bruch*) пройшов *крізь* (*durch*) стіну.|EN: Breakthrough<br>DE: Erfolg<br>RU: Прорыв<br>UA: Прорив|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20wall%20breaking%20light%20shining?width=320&height=200&nologo=true">|DE B2 Success Physics
die Folgen|Наслідки (Input: Folgen). Результати дії, часто негативні (множина від *die Folge*). Також може означати «серії» серіалу.|/ˈfɔlɡn̩/|Noun|die|Sg: die Folge|*Folgen haben* = мати наслідки.|1. Das wird schlimme <b>Folgen</b> haben.<br>2. Er muss die <b>Folgen</b> tragen.<br>3. Ich habe alle <b>Folgen</b> der Serie gesehen.|1. Це матиме погані наслідки.<br>2. Він мусить нести відповідальність (наслідки).<br>3. Я бачив усі серії серіалу.|Від дієслова *folgen* (слідувати). Те, що слідує за дією.|Що слідує (*folgen*), те і є *наслідком*.|EN: Consequences / Episodes<br>DE: Konsequenzen<br>RU: Последствия<br>UA: Наслідки|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20dominoes%20falling%20consequence?width=320&height=200&nologo=true">|DE B1 Abstract TV
die Mütze|Шапка (зазвичай в'язана або м'яка, без полів). Головний убір.|/ˈmʏt͡sə/|Noun|die|Pl: -n|Для капелюха з полями використовують *Hut* (m).|1. Setz deine <b>Mütze</b> auf, es ist kalt.<br>2. Er hat eine rote <b>Mütze</b>.<br>3. Wo ist meine <b>Mütze</b>?|1. Надягни шапку, холодно.<br>2. У нього червона шапка.<br>3. Де моя шапка?|Від середньовічної латини *almutia*. Споріднене з польським *mycka* і українським *мицка* (розм).|*Мицка* (Mütze) на голові.|EN: Cap / Beanie<br>DE: Kopfbedeckung<br>RU: Шапка<br>UA: Шапка|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20winter%20hat%20beanie?width=320&height=200&nologo=true">|DE A1 Clothing
selten|Рідко. Нечасто, в малій кількості випадків.|/ˈzɛltn̩/|Adverb/Adj|none|-|Антонім: *oft* (часто) або *häufig* (часто).|1. Das passiert sehr <b>selten</b>.<br>2. Ein <b>seltenes</b> Tier.<br>3. Ich sehe ihn <b>selten</b>.|1. Це трапляється дуже рідко.<br>2. Рідкісна тварина.<br>3. Я його рідко бачу.|Германське походження, спочатку означало «дивний», «винятковий».|Сало (*Sel-*) *та* (*-ten*) інше їм *рідко* (для вегетаріанців).|EN: Rarely<br>DE: Kaum / Rar<br>RU: Редко<br>UA: Рідко|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20four%20leaf%20clover%20rare?width=320&height=200&nologo=true">|DE A1 Frequency
inzwischen|Тим часом, між тим. Вказує на проміжок часу, поки відбувається інша дія, або на зміну ситуації з часом.|/ɪnˈt͡svɪʃn̩/|Adverb|none|-|Синонім: *mittlerweile*, *unterdessen*.|1. Er ist <b>inzwischen</b> erwachsen geworden.<br>2. Ich koche, du kannst <b>inzwischen</b> den Tisch decken.<br>3. <b>Inzwischen</b> wissen wir mehr.|1. Тим часом він став дорослим (вже виріс).<br>2. Я готую, ти можеш тим часом накрити на стіл.<br>3. Тепер (тим часом) ми знаємо більше.|*In* (в) + *zwischen* (між). Буквально: «в проміжку».|*Ін*коли (*In-*) *цві*те (*-zwi-*) *тим часом*, поки чекаєш.|EN: Meanwhile / By now<br>DE: Mittlerweile<br>RU: Тем временем<br>UA: Тим часом|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20hourglass%20sand%20flowing?width=320&height=200&nologo=true">|DE B1 Time Adverb
der Erfolg|Успіх. Позитивний результат зусиль.|/ɛɐ̯ˈfɔlk/|Noun|der|Pl: -e|*Viel Erfolg!* — популярне побажання удачі перед іспитом чи роботою.|1. Ich wünsche dir viel <b>Erfolg</b>!<br>2. Das Projekt war ein großer <b>Erfolg</b>.<br>3. Er hatte keinen <b>Erfolg</b> bei ihr.|1. Бажаю тобі багато успіху!<br>2. Проект був великим успіхом.<br>3. Він не мав у неї успіху.|Від дієслова *erfolgen* (відбуватися як наслідок, випливати). Успіх — це те, що «випливає» з дій.|Отримав *фольгу* (*-folg*) замість золота? Це не *успіх* (анти-мнемоніка: треба золото, а не фольга). Або: результат *слідує* (*folgen*) за працею.|EN: Success<br>DE: Gelingen<br>RU: Успех<br>UA: Успіх|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20person%20on%20mountain%20peak%20flag?width=320&height=200&nologo=true">|DE A2 Abstract
stellen|Ставити. Розміщувати щось у вертикальному положенні.|/ˈʃtɛlən/|Verb|none|Pres: stellt, Past: stellte, Perf: hat gestellt|На відміну від *legen* (класти горизонтально). *Stellen* — вертикально (вазу, склянку).|1. Kannst du die Vase auf den Tisch <b>stellen</b>?<br>2. Er hat mir eine Frage <b>gestellt</b>.<br>3. Ich habe den Wecker <b>gestellt</b>.|1. Можеш поставити вазу на стіл?<br>2. Він поставив мені запитання (ідіома).<br>3. Я завів (поставив) будильник.|Каузатив до *stehen* (стояти). Тобто «змусити стояти».|Я *стелю* (співзвучно, але значення інше - класти) килим, але вазу *ставлю* (*stellen*).|EN: To place (vertically)<br>DE: Platzieren<br>RU: Ставить<br>UA: Ставити|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20hand%20placing%20bottle%20on%20table?width=320&height=200&nologo=true">|DE A1 Action Position
